sample	transcript	n	mean	sigma	prop	min	conv	synthrate	synthrate_norm
mmu_dRNA_3T3_mion_1	ENSMUST00000175940	18	1793.01524827924	710.195916395832	0.536311832419891	203	1	0.000727428103837412	0.000727428103837412
mmu_dRNA_3T3_mion_1	ENSMUST00000175965	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175975	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175981	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000175992	11	1061.05505912223	250.053402987841	0.514616659855846	435	1	0.00169350485614549	0.00169350485614549
mmu_dRNA_3T3_mion_1	ENSMUST00000176010	6806	451.80076716746	30.4432908784703	0.187074394405897	142	1	0.00074281566851841	0.00074281566851841
mmu_dRNA_3T3_mion_1	ENSMUST00000176014	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176030	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176047	25	1854.96570452592	58.6849426160157	0.673116012204322	274	1	0.0013024882834696	0.0013024882834696
mmu_dRNA_3T3_mion_1	ENSMUST00000176059	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176072	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176102	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176107	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176149	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176171	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176176	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176200	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176201	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176203	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176207	36	615.659301095412	425.29641662949	0.680692595343699	181	1	0.00490448103079583	0.00490448103079583
mmu_dRNA_3T3_mion_1	ENSMUST00000176216	43	2077.90128632896	757.065934425066	0.560258223471315	288	1	0.000711805653534491	0.000711805653534491
mmu_dRNA_3T3_mion_1	ENSMUST00000176219	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176228	124	1248.72604179004	533.734634675751	0.548395556906751	202	1	0.00116011940768572	0.00116011940768572
mmu_dRNA_3T3_mion_1	ENSMUST00000176242	21	2112.60029390089	730.272726850202	0.545551551170031	376	0	0.00069127571387575	0.00069127571387575
mmu_dRNA_3T3_mion_1	ENSMUST00000176250	55	821.717780003154	266.313925250331	0.514069334853645	205	1	0.0017153822913332	0.0017153822913332
mmu_dRNA_3T3_mion_1	ENSMUST00000176271	17	1870.92745462854	910.868920594382	0.56784980642228	305	1	0.000839125911121519	0.000839125911121519
mmu_dRNA_3T3_mion_1	ENSMUST00000176274	47	1330.05862539108	510.223460197706	0.550246485925579	278	1	0.00116290107246171	0.00116290107246171
mmu_dRNA_3T3_mion_1	ENSMUST00000176278	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176286	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176322	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176325	15	1539.63930172811	356.006878486868	0.505024872884318	345	1	0.00085406828274075	0.00085406828274075
mmu_dRNA_3T3_mion_1	ENSMUST00000176335	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176353	45	1472.46753993019	413.543031012872	0.52076231713429	307	1	0.000932370252517922	0.000932370252517922
mmu_dRNA_3T3_mion_1	ENSMUST00000176364	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176381	38	1462.73662885721	462.181550533698	0.54022954735972	240	1	0.000960957883119867	0.000960957883119867
mmu_dRNA_3T3_mion_1	ENSMUST00000176383	54	1766.40988044557	1063.04264973724	0.585817955049066	271	1	0.000945825817954616	0.000945825817954616
mmu_dRNA_3T3_mion_1	ENSMUST00000176425	NA	NA	NA	NA	NA	0	NA	NA
mmu_dRNA_3T3_mion_1	ENSMUST00000176438	44	1634.92785653497	490.210483281581	0.539070012860876	329	1	0.000895552446393551	0.000895552446393551
mmu_dRNA_3T3_mion_1	ENSMUST00000176464	19	1720.26482498686	718.710619386977	0.557103012387131	249	1	0.000854952385456039	0.000854952385456039
mmu_dRNA_3T3_mion_1	ENSMUST00000176496	NA	NA	NA	NA	NA	0	NA	NA
