transcript,name,gene,n_readlength,maxmean_readlength,sigma_readlength,prop_readlength,min_readlength,n_polyA,maxmean_polyA,sigma_polyA,prop_polyA,min_polyA,t5,transcript_id,hist5p_0,hist5p_1,hist5p_2,hist5p_3,hist5p_4,hist5p_5,hist5p_6,hist5p_7,hist5p_8,hist5p_9,hist3p_0,hist3p_1,hist3p_2,hist3p_3,hist3p_4,hist3p_5,hist3p_6,hist3p_7,hist3p_8,hist3p_9
ENSMUST00000067384,Rhob,ENSMUSG00000054364,589.0,1442.41725441272,662.854709616317,0.54779225705391,170.0,374.0,152.745511298603,58.9396923517502,0.496034589719326,2.28,0.1,ENSMUST00000067384,0.1290322580645161,0.0577249575551782,0.0373514431239388,0.0814940577249575,0.0560271646859083,0.1069609507640067,0.1460101867572156,0.1561969439728353,0.1935483870967742,0.0356536502546689,0.0135823429541595,0.0118845500848896,0.0,0.0050933786078098,0.0,0.0135823429541595,0.0050933786078098,0.0,0.0220713073005093,0.928692699490662
ENSMUST00000094657,Dnajc8,ENSMUSG00000054405,551.0,1040.08910576825,322.49875360393,0.50562051297957,154.0,354.0,152.100898194544,64.0270180109449,0.499360270101893,3.85,8.0473523071207893,ENSMUST00000094657,0.1343012704174228,0.0199637023593466,0.058076225045372,0.1960072595281306,0.1778584392014519,0.0980036297640653,0.1070780399274047,0.1088929219600726,0.087114337568058,0.0127041742286751,0.0,0.0,0.0,0.0,0.0018148820326678,0.0,0.0018148820326678,0.0,0.0471869328493647,0.9491833030852994
ENSMUST00000067485,Slc30a7,ENSMUSG00000054414,164.0,1445.02683860411,642.052043091637,0.528006624968454,171.0,119.0,164.742522402087,78.2267780796021,0.552888119468273,16.48,1.8216326970264001,ENSMUST00000067485,0.2256097560975609,0.3170731707317073,0.0426829268292682,0.0060975609756097,0.0,0.0121951219512195,0.0548780487804878,0.0670731707317073,0.0670731707317073,0.2073170731707317,0.0,0.0853658536585365,0.4939024390243902,0.0060975609756097,0.0,0.0,0.0,0.0975609756097561,0.0,0.3170731707317073
ENSMUST00000067545,Lclat1,ENSMUSG00000054469,346.0,1565.09020286429,1027.92325747188,0.585808663117324,149.0,237.0,147.254484946902,58.4235991555705,0.522204589629861,13.5,2.07724976301943,ENSMUST00000067545,0.0260115606936416,0.0173410404624277,0.0202312138728323,0.0231213872832369,0.0520231213872832,0.0491329479768786,0.0924855491329479,0.1416184971098266,0.3294797687861271,0.2485549132947976,0.0,0.0,0.0028901734104046,0.0144508670520231,0.0028901734104046,0.0,0.0,0.0606936416184971,0.0057803468208092,0.9132947976878611
ENSMUST00000067744,Cggbp1,ENSMUSG00000054604,374.0,1539.99747845607,1001.62462386207,0.589448280822873,162.0,242.0,143.674378221466,61.7827803370279,0.505468491001434,1.59,1.0774430602127101,ENSMUST00000067744,0.0962566844919786,0.0668449197860962,0.0267379679144385,0.0240641711229946,0.0401069518716577,0.0668449197860962,0.0695187165775401,0.141711229946524,0.3609625668449198,0.106951871657754,0.0026737967914438,0.0,0.1363636363636363,0.0,0.0,0.0240641711229946,0.0026737967914438,0.0080213903743315,0.0026737967914438,0.8235294117647058
ENSMUST00000047898,Kdm2a,ENSMUSG00000054611,319.0,1385.55049367566,835.794094956545,0.573720134186089,185.0,218.0,159.669898804357,78.5647319513334,0.53365597387748,1.57,0.19678028870244199,ENSMUST00000047898,0.006269592476489,0.006269592476489,0.0094043887147335,0.0219435736677116,0.0250783699059561,0.0658307210031347,0.3385579937304075,0.5266457680250783,0.0,0.0,0.0,0.0,0.0094043887147335,0.012539184952978,0.0031347962382445,0.006269592476489,0.018808777429467,0.9435736677115988,0.006269592476489,0.0
ENSMUST00000067853,Tmem119,ENSMUSG00000054675,275.0,1414.27093811303,503.744263678204,0.509774559265848,169.0,194.0,146.674221786983,47.8348859826809,0.509140434086426,9.36,0.69288204455862301,ENSMUST00000067853,0.1309090909090909,0.0145454545454545,0.0109090909090909,0.2145454545454545,0.0654545454545454,0.0981818181818181,0.1054545454545454,0.149090909090909,0.1527272727272727,0.0581818181818181,0.0,0.0,0.0,0.0581818181818181,0.0,0.0,0.0,0.0036363636363636,0.0036363636363636,0.9345454545454546
ENSMUST00000052509,Zfp771,ENSMUSG00000054716,220.0,1269.74494134574,122.110285185045,0.514453958473076,301.0,154.0,141.667047313315,60.5109746718119,0.531040036596444,16.31,2.6262645108909601,ENSMUST00000052509,0.0,0.1227272727272727,0.4045454545454545,0.0636363636363636,0.0863636363636363,0.109090909090909,0.0954545454545454,0.0681818181818181,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045454545454545,0.0,0.9954545454545456
ENSMUST00000067925,Hmgb2,ENSMUSG00000054717,1207.0,779.136353152007,283.777341488269,0.512075969188037,135.0,707.0,149.249203673517,63.8151395420666,0.49743360965212,1.61,1.2618548402647201,ENSMUST00000067925,0.2642916321458161,0.1648715824357912,0.4142502071251036,0.1499585749792875,0.0024855012427506,0.0,0.0016570008285004,0.0008285004142502,0.0016570008285004,0.0,0.0008285004142502,0.0447390223695111,0.08036454018227,0.0024855012427506,0.8657829328914665,0.0008285004142502,0.0,0.0,0.0,0.0049710024855012
ENSMUST00000128646,Phactr1,ENSMUSG00000054728,34.0,1663.77127364913,679.710077191098,0.546454154823041,302.0,24.0,149.728724094779,63.3167561288005,0.516713460520987,16.59,1.02132647874196,ENSMUST00000128646,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.1470588235294117,0.1176470588235294,0.3529411764705882,0.2647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSMUST00000067996,Set,ENSMUSG00000054766,1760.0,1054.69472253825,504.14561592602,0.526922897856013,118.0,1107.0,134.279509258691,60.7065810474341,0.507926074679809,2.19,2.90322409015962,ENSMUST00000067996,0.075,0.0375,0.03125,0.1971590909090909,0.1386363636363636,0.1164772727272727,0.1534090909090909,0.0801136363636363,0.0988636363636363,0.0715909090909091,0.0,0.0,0.0011363636363636,0.0636363636363636,0.1068181818181818,0.059090909090909,0.1125,0.2204545454545454,0.0017045454545454,0.4346590909090909
ENSMUST00000068045,Actn4,ENSMUSG00000054808,1820.0,1685.63519087001,980.168806715483,0.569340141573315,170.0,1287.0,141.094507672022,68.499989787321,0.517979827277065,2.1,8.1182730047983593,ENSMUST00000068045,0.0291208791208791,0.0137362637362637,0.0263736263736263,0.039010989010989,0.05,0.0851648351648351,0.1362637362637362,0.1439560439560439,0.2324175824175824,0.2439560439560439,0.0,0.0005494505494505,0.0038461538461538,0.0,0.0,0.0005494505494505,0.0016483516483516,0.0021978021978021,0.0076923076923076,0.9835164835164836
